Size,UnitPrice,TotalPrice,District
82.53,12723.0,105.0,双楠
54.07,10172.0,55.0,龙潭寺
83.94,13105.0,110.0,驷马桥
64.8,12963.0,84.0,红牌楼
70.14,21386.0,150.0,沙河堡
67.28,17391.0,117.0,外光华
136.11,11756.0,160.0,蛟龙港
88.93,11808.0,105.0,毗河
80.0,18750.0,150.0,成外
63.0,8731.0,55.0,红光
102.0,15000.0,153.0,龙泉驿城区
154.32,18145.0,280.0,远大
144.5,24222.0,350.0,丽都
120.29,28266.0,340.0,金沙
96.38,12970.0,125.0,一品天下
145.92,11993.0,175.0,抚琴小区
77.69,14159.0,110.0,驷马桥
54.79,13324.0,73.0,衣冠庙
90.94,13746.0,125.0,驷马桥
102.54,11216.0,115.0,大丰
87.0,13334.0,116.0,草金立交
119.47,22600.0,270.0,光华泡小
32.48,20936.0,68.0,红牌楼
47.6,14706.0,70.0,外光华
105.81,9073.0,96.0,高新西
98.71,15804.0,156.0,驷马桥
35.58,12367.0,44.0,花牌坊
48.76,14357.0,70.0,五块石
294.19,14617.0,430.0,航空港
153.65,16011.0,246.0,草市街
82.53,12723.0,105.0,双楠
54.07,10172.0,55.0,龙潭寺
83.94,13105.0,110.0,驷马桥
64.8,12963.0,84.0,红牌楼
70.14,21386.0,150.0,沙河堡
67.28,17391.0,117.0,外光华
136.11,11756.0,160.0,蛟龙港
88.93,11808.0,105.0,毗河
80.0,18750.0,150.0,成外
63.0,8731.0,55.0,红光
102.0,15000.0,153.0,龙泉驿城区
154.32,18145.0,280.0,远大
144.5,24222.0,350.0,丽都
120.29,28266.0,340.0,金沙
96.38,12970.0,125.0,一品天下
145.92,11993.0,175.0,抚琴小区
77.69,14159.0,110.0,驷马桥
54.79,13324.0,73.0,衣冠庙
90.94,13746.0,125.0,驷马桥
102.54,11216.0,115.0,大丰
87.0,13334.0,116.0,草金立交
119.47,22600.0,270.0,光华泡小
32.48,20936.0,68.0,红牌楼
47.6,14706.0,70.0,外光华
105.81,9073.0,96.0,高新西
98.71,15804.0,156.0,驷马桥
35.58,12367.0,44.0,花牌坊
48.76,14357.0,70.0,五块石
