Size,UnitPrice,TotalPrice,District
 78.51  ,11209,88,新都城区
 113.66  ,12758,145,大面
 93.56  ,14430,135,紫荆
 17  ,6471,11,八里小区
 127.27  ,12572,160,中和
 88.83  ,27581,245,营门口
 29  ,2656,7.7,橡树湾
 67.5  ,24889,168,丽都
 45.4  ,6608,30,郫县城区
 72.5  ,7035,51,高新西
 80  ,13500,108,龙泉驿城区
 248.09  ,10481,260,温江大学城
 89  ,22472,200,市一医院
 41.8  ,13398,56,府南新区
 98.45  ,17268,170,广都
 88.8  ,13514,120,外光华
 78.69  ,12454,98,郫县城区
 59.6  ,16947,101,水碾河
 120  ,7084,85,都江堰
 86  ,12559,108,大丰
 62.84  ,17824,112,外金沙
 43.87  ,8207,36,大丰
 53.21  ,12216,65,东客站
 96  ,13855,133,华阳
 67.34  ,14851,100,温江新城
 67.75  ,8857,60,航天
 189.46  ,26919,510,珠江新城
 93.11  ,11922,111,草市街
 106.3  ,17874,190,中和
 115.18  ,23008,265,大源
 78.51  ,11209,88,新都城区
 113.66  ,12758,145,大面
 93.56  ,14430,135,紫荆
 17  ,6471,11,八里小区
 127.27  ,12572,160,中和
 88.83  ,27581,245,营门口
 29  ,2656,7.7,橡树湾
 67.5  ,24889,168,丽都
 45.4  ,6608,30,郫县城区
 72.5  ,7035,51,高新西
 80  ,13500,108,龙泉驿城区
 248.09  ,10481,260,温江大学城
 89  ,22472,200,市一医院
 41.8  ,13398,56,府南新区
 98.45  ,17268,170,广都
 88.8  ,13514,120,外光华
 78.69  ,12454,98,郫县城区
 59.6  ,16947,101,水碾河
 120  ,7084,85,都江堰
 86  ,12559,108,大丰
 62.84  ,17824,112,外金沙
 43.87  ,8207,36,大丰
 53.21  ,12216,65,东客站
 96  ,13855,133,华阳
 67.34  ,14851,100,温江新城
 67.75  ,8857,60,航天
 189.46  ,26919,510,珠江新城
 93.11  ,11922,111,草市街
 106.3  ,17874,190,中和
 115.18  ,23008,265,大源
 51.66  ,12002,62,五块石
 61.27  ,20565,126,中德
 73.56  ,12915,95,毗河
 43.69  ,14878,65,合江亭
 263.5  ,19735,520,洪河
 207.5  ,36627,760,新会展
 75.91  ,29641,225,大源
 241.19  ,36901,890,新会展
 55.79  ,13623,76,花牌坊
 96.09  ,10928,105,抚琴小区
 112.96  ,18591,210,都江堰
 106.84  ,10109,108,温江大学城
 79.74  ,19815,158,川音
 68.32  ,13906,95,猛追湾
 126.74  ,17201,218,国宾
 85.38  ,32795,280,建设路
